Model,Embedding Size,Test Recall@20
LightGCN,16,0.8751729723150952
LightGCN,32,0.8752277714072563
LightGCN,64,0.8752617202321452
LightGCN,128,0.8752114197990136
GAT,16,0.8596544436442991
GAT,32,0.8700231353941542
GAT,64,0.8727492858230321
GAT,128,0.8783505468135825
GraphSAGE,16,0.8470884688248922
GraphSAGE,32,0.8651140520052727
GraphSAGE,64,0.8671610174766349
GraphSAGE,128,0.8716481027108289
NCF,16,0.8328245447509987
NCF,32,0.8411417153623463
NCF,64,0.8480826650751068
NCF,128,0.8611335995211497
